data,cnpj,Estabelecimento,tPag,Forma_Pagamento,qtd_pagamentos,soma_vPag
2026-01-13,18960845000194,Oticas_BH,03,Cartao_Credito,9,15720.0
2026-01-13,18960845000194,Oticas_BH,04,Cartao_Debito,1,1000.0
2026-01-15,18960845000194,Oticas_BH,03,Cartao_Credito,6,23231.0
2026-01-15,18960845000194,Oticas_BH,13,13,2,2390.0
2026-01-16,18960845000194,Oticas_BH,03,Cartao_Credito,4,6880.0
2026-01-16,18960845000194,Oticas_BH,13,13,2,5730.0
2026-01-19,18960845000194,Oticas_BH,03,Cartao_Credito,1,2900.0
2026-01-20,18960845000194,Oticas_BH,03,Cartao_Credito,5,7282.0
2026-01-20,18960845000194,Oticas_BH,04,Cartao_Debito,3,1678.0
2026-01-20,18960845000194,Oticas_BH,13,13,2,1725.0
2026-01-21,07843328000119,Matriz_Luminis,03,Cartao_Credito,7,16410.0
2026-01-21,07843328000119,Matriz_Luminis,04,Cartao_Debito,2,800.0
2026-01-22,18960845000194,Oticas_BH,03,Cartao_Credito,1,2240.0
2026-01-23,07843328000208,Filial_Proview,03,Cartao_Credito,3,4839.0
2026-01-23,18960845000194,Oticas_BH,03,Cartao_Credito,4,8980.0
2026-01-26,07843328000119,Matriz_Luminis,03,Cartao_Credito,2,3030.0
2026-01-26,07843328000119,Matriz_Luminis,20,20,1,100.0
2026-01-26,07843328000208,Filial_Proview,03,Cartao_Credito,9,33825.0
2026-01-26,07843328000208,Filial_Proview,04,Cartao_Debito,1,2890.0
2026-01-26,18960845000194,Oticas_BH,03,Cartao_Credito,4,5790.0
2026-01-26,18960845000194,Oticas_BH,04,Cartao_Debito,2,3625.0
2026-01-26,18960845000194,Oticas_BH,13,13,2,2250.0
2026-01-28,07843328000119,Matriz_Luminis,03,Cartao_Credito,3,7800.0
2026-01-28,07843328000208,Filial_Proview,03,Cartao_Credito,4,8138.0
2026-01-28,07843328000208,Filial_Proview,04,Cartao_Debito,1,4300.0
2026-01-28,18960845000194,Oticas_BH,03,Cartao_Credito,3,5500.0
2026-01-28,18960845000194,Oticas_BH,04,Cartao_Debito,1,1000.0
