cnpj,Estabelecimento,mes,bandeira,modalidade,qtd_vendas,valor_bruto,valor_taxa,valor_liquido,MDR_pct
07843328000119,Matriz_Luminis,2025-01,Elo,Débito,2,800.0,-14.4,785.6,1.80%
07843328000119,Matriz_Luminis,2025-01,Mastercard,Crédito,9,10965.0,-307.76,10657.24,2.81%
07843328000119,Matriz_Luminis,2025-01,Visa,Crédito,17,24620.0,-630.99,23989.01,2.56%
07843328000119,Matriz_Luminis,2025-01,Visa,Débito,8,6070.0,-80.73,5989.27,1.33%
07843328000119,Matriz_Luminis,2025-02,Elo,Débito,1,1000.0,-18.0,982.0,1.80%
07843328000119,Matriz_Luminis,2025-02,Mastercard,Crédito,17,34169.0,-950.17,33218.83,2.78%
07843328000119,Matriz_Luminis,2025-02,Mastercard,Débito,2,490.0,-6.57,483.43,1.34%
07843328000119,Matriz_Luminis,2025-02,Visa,Crédito,10,24040.0,-611.78,23428.22,2.54%
07843328000119,Matriz_Luminis,2025-02,Visa,Débito,6,3290.0,-43.76,3246.24,1.33%
07843328000119,Matriz_Luminis,2025-03,Elo,Crédito,1,180.0,-5.04,174.96,2.80%
07843328000119,Matriz_Luminis,2025-03,Elo,Débito,1,140.0,-2.52,137.48,1.80%
07843328000119,Matriz_Luminis,2025-03,Mastercard,Crédito,16,21775.0,-579.74,21195.26,2.66%
07843328000119,Matriz_Luminis,2025-03,Mastercard,Débito,1,500.0,-6.7,493.3,1.34%
07843328000119,Matriz_Luminis,2025-03,Visa,Crédito,10,8960.0,-233.29,8726.71,2.60%
07843328000119,Matriz_Luminis,2025-03,Visa,Débito,2,250.0,-3.33,246.67,1.33%
07843328000119,Matriz_Luminis,2025-04,Elo,Crédito,1,4030.0,-123.32,3906.68,3.06%
07843328000119,Matriz_Luminis,2025-04,Mastercard,Crédito,16,28608.0,-799.83,27808.17,2.80%
07843328000119,Matriz_Luminis,2025-04,Visa,Crédito,12,15325.0,-385.79,14939.21,2.52%
07843328000119,Matriz_Luminis,2025-04,Visa,Débito,3,3660.0,-48.68,3611.32,1.33%
07843328000119,Matriz_Luminis,2025-05,Amex,Crédito,2,4529.0,-161.23,4367.77,3.56%
07843328000119,Matriz_Luminis,2025-05,Elo,Crédito,1,2000.0,-61.2,1938.8,3.06%
07843328000119,Matriz_Luminis,2025-05,Elo,Débito,1,1500.0,-27.0,1473.0,1.80%
07843328000119,Matriz_Luminis,2025-05,Mastercard,Crédito,9,20313.0,-543.3,19769.7,2.67%
07843328000119,Matriz_Luminis,2025-05,Mastercard,Débito,3,1220.0,-16.35,1203.65,1.34%
07843328000119,Matriz_Luminis,2025-05,Visa,Crédito,6,14575.0,-363.24,14211.76,2.49%
07843328000119,Matriz_Luminis,2025-05,Visa,Débito,3,4835.0,-64.32,4770.68,1.33%
07843328000119,Matriz_Luminis,2025-06,Elo,Crédito,2,2780.0,-85.07,2694.93,3.06%
07843328000119,Matriz_Luminis,2025-06,Elo,Débito,1,2100.0,-37.8,2062.2,1.80%
07843328000119,Matriz_Luminis,2025-06,Mastercard,Crédito,17,25024.0,-669.1,24354.9,2.67%
07843328000119,Matriz_Luminis,2025-06,Mastercard,Débito,3,2080.0,-27.87,2052.13,1.34%
07843328000119,Matriz_Luminis,2025-06,Visa,Crédito,14,27753.0,-697.89,27055.11,2.51%
07843328000119,Matriz_Luminis,2025-06,Visa,Débito,1,3159.0,-42.01,3116.99,1.33%
07843328000119,Matriz_Luminis,2025-07,Elo,Crédito,1,5939.0,-187.67,5751.33,3.16%
07843328000119,Matriz_Luminis,2025-07,Mastercard,Crédito,24,41840.0,-1186.26,40653.74,2.84%
07843328000119,Matriz_Luminis,2025-07,Mastercard,Débito,2,1380.0,-18.49,1361.51,1.34%
07843328000119,Matriz_Luminis,2025-07,Visa,Crédito,7,9819.0,-244.23,9574.77,2.49%
07843328000119,Matriz_Luminis,2025-07,Visa,Débito,5,3600.0,-47.88,3552.12,1.33%
07843328000119,Matriz_Luminis,2025-08,Elo,Crédito,1,1000.0,-30.6,969.4,3.06%
07843328000119,Matriz_Luminis,2025-08,Mastercard,Crédito,20,37562.0,-1044.42,36517.58,2.78%
07843328000119,Matriz_Luminis,2025-08,Mastercard,Débito,4,5590.0,-74.91,5515.09,1.34%
07843328000119,Matriz_Luminis,2025-08,Visa,Crédito,10,12746.0,-332.54,12413.46,2.61%
07843328000119,Matriz_Luminis,2025-08,Visa,Débito,1,300.0,-3.99,296.01,1.33%
07843328000119,Matriz_Luminis,2025-09,Elo,Crédito,1,1200.0,-33.6,1166.4,2.80%
07843328000119,Matriz_Luminis,2025-09,Mastercard,Crédito,15,26665.0,-732.31,25932.69,2.75%
07843328000119,Matriz_Luminis,2025-09,Mastercard,Débito,3,4350.0,-58.29,4291.71,1.34%
07843328000119,Matriz_Luminis,2025-09,Visa,Crédito,9,12360.0,-312.27,12047.73,2.53%
07843328000119,Matriz_Luminis,2025-09,Visa,Débito,2,240.0,-3.2,236.8,1.33%
07843328000119,Matriz_Luminis,2025-10,Mastercard,Crédito,22,48301.0,-1312.69,46988.31,2.72%
07843328000119,Matriz_Luminis,2025-10,Mastercard,Débito,4,1180.0,-15.82,1164.18,1.34%
07843328000119,Matriz_Luminis,2025-10,Visa,Crédito,11,23330.0,-579.33,22750.67,2.48%
07843328000119,Matriz_Luminis,2025-10,Visa,Débito,1,50.0,-0.67,49.33,1.34%
07843328000119,Matriz_Luminis,2025-11,Elo,Crédito,3,2500.0,-65.95,2434.05,2.64%
07843328000119,Matriz_Luminis,2025-11,Elo,Débito,1,700.0,-12.6,687.4,1.80%
07843328000119,Matriz_Luminis,2025-11,Mastercard,Crédito,16,28034.0,-769.0,27265.0,2.74%
07843328000119,Matriz_Luminis,2025-11,Mastercard,Débito,2,495.0,-6.63,488.37,1.34%
07843328000119,Matriz_Luminis,2025-11,Visa,Crédito,12,21249.0,-530.83,20718.17,2.50%
07843328000119,Matriz_Luminis,2025-11,Visa,Débito,2,880.0,-11.7,868.3,1.33%
07843328000119,Matriz_Luminis,2025-12,Elo,Crédito,1,700.0,-21.42,678.58,3.06%
