Estabelecimento,mes,qtd_vendas_aprovadas,valor_bruto,valor_taxa,valor_liquido,MDR_pct
Filial_Proview,2025-01,43,104669.34,-2462.63,102206.71,2.35%
Filial_Proview,2025-02,34,70416.0,-1730.71,68685.29,2.46%
Filial_Proview,2025-03,14,36512.0,-857.45,35654.55,2.35%
Filial_Proview,2025-04,30,88726.0,-2064.85,86661.15,2.33%
Filial_Proview,2025-05,34,88694.0,-2130.9,86563.1,2.40%
Filial_Proview,2025-06,22,37598.0,-916.27,36681.73,2.44%
Filial_Proview,2025-07,46,131310.0,-3160.65,128149.35,2.41%
Filial_Proview,2025-08,26,74701.0,-1757.05,72943.95,2.35%
Filial_Proview,2025-09,38,107936.0,-2569.14,105366.86,2.38%
Filial_Proview,2025-10,46,81584.0,-1944.77,79639.23,2.38%
Filial_Proview,2025-11,31,95480.0,-2078.33,93401.67,2.18%
Filial_Proview,2025-12,37,84289.0,-2012.73,82276.27,2.39%
Filial_Proview,2026-01,43,109724.0,-2580.2,107143.8,2.35%
Filial_Proview,2026-02,29,96082.0,-2284.6,93797.4,2.38%
Filial_Proview,2026-03,45,88785.0,-2171.07,86613.93,2.45%
Filial_Proview,2026-04,32,79765.0,-2012.98,77752.02,2.52%
Filial_Proview,2026-05,40,73459.0,-1686.91,71772.09,2.30%
Filial_Proview,2026-06,1,7380.0,0.0,0.0,-0.00%
Matriz_Luminis,2025-01,36,42455.0,-1033.88,41421.12,2.44%
Matriz_Luminis,2025-02,36,62989.0,-1630.28,61358.72,2.59%
Matriz_Luminis,2025-03,31,31805.0,-830.62,30974.38,2.61%
Matriz_Luminis,2025-04,32,51623.0,-1357.62,50265.38,2.63%
Matriz_Luminis,2025-05,25,48972.0,-1236.64,47735.36,2.53%
Matriz_Luminis,2025-06,38,62896.0,-1559.74,61336.26,2.48%
Matriz_Luminis,2025-07,39,62578.0,-1684.53,60893.47,2.69%
Matriz_Luminis,2025-08,36,57198.0,-1486.46,55711.54,2.60%
Matriz_Luminis,2025-09,30,44815.0,-1139.67,43675.33,2.54%
Matriz_Luminis,2025-10,38,72861.0,-1908.51,70952.49,2.62%
Matriz_Luminis,2025-11,36,53858.0,-1396.71,52461.29,2.59%
Matriz_Luminis,2025-12,30,62822.0,-1562.19,61259.81,2.49%
Matriz_Luminis,2026-01,27,40232.0,-1054.65,39177.35,2.62%
Matriz_Luminis,2026-02,29,45902.0,-1216.38,44685.62,2.65%
Matriz_Luminis,2026-03,40,56445.0,-1441.47,55003.53,2.55%
Matriz_Luminis,2026-04,16,17630.0,-475.29,17154.71,2.70%
Matriz_Luminis,2026-05,31,56118.0,-1472.07,54645.93,2.62%
Matriz_Luminis,2026-06,6,10420.0,-249.91,8770.09,2.40%
Oticas_BH,2025-01,75,125623.0,-2824.52,122798.48,2.25%
Oticas_BH,2025-02,71,118905.0,-2748.41,116156.59,2.31%
Oticas_BH,2025-03,78,118057.0,-2701.84,115355.16,2.29%
Oticas_BH,2025-04,97,168094.0,-3950.21,164143.79,2.35%
Oticas_BH,2025-05,88,134471.0,-3233.78,131237.22,2.40%
Oticas_BH,2025-06,73,114952.0,-2599.21,112352.79,2.26%
Oticas_BH,2025-07,103,158178.0,-3511.09,154666.91,2.22%
Oticas_BH,2025-08,85,156005.0,-3703.65,152301.35,2.37%
Oticas_BH,2025-09,96,163844.0,-3995.16,159848.84,2.44%
Oticas_BH,2025-10,83,178862.0,-4284.24,174577.76,2.40%
Oticas_BH,2025-11,71,123144.0,-2885.08,120258.92,2.34%
Oticas_BH,2025-12,56,102876.0,-2498.12,100377.88,2.43%
Oticas_BH,2026-01,59,110758.0,-2588.2,108169.8,2.34%
Oticas_BH,2026-02,71,105496.0,-2525.88,102970.12,2.39%
Oticas_BH,2026-03,80,139997.0,-3192.6,136804.4,2.28%
Oticas_BH,2026-04,65,106768.9,-2513.64,104255.26,2.35%
Oticas_BH,2026-05,72,130598.5,-3161.7,127436.8,2.42%
Oticas_BH,2026-06,7,8125.0,-21.25,1678.75,0.26%
