cnpj,Estabelecimento,mes,Dinheiro_R$,Cartao_Credito_R$,Cartao_Debito_R$,13_R$,PIX_R$,20_R$,TOTAL_R$
07843328000119,Matriz_Luminis,2026-01,0.0,38932.0,1300.0,0.0,0.0,200.0,40432.0
07843328000119,Matriz_Luminis,2026-02,0.0,45022.0,880.0,0.0,0.0,3200.0,49102.0
07843328000119,Matriz_Luminis,2026-03,0.0,55975.0,4910.0,0.0,0.0,6340.0,67225.0
07843328000119,Matriz_Luminis,2026-04,0.0,16500.0,1150.0,0.0,0.0,5652.34,23302.34
07843328000119,Matriz_Luminis,2026-05,0.0,51520.0,4598.0,0.0,0.0,2696.67,58814.67
07843328000208,Filial_Proview,2026-01,0.0,100767.0,10090.0,0.0,980.0,0.0,111837.0
07843328000208,Filial_Proview,2026-02,0.0,92025.0,2890.0,0.0,11850.0,0.0,106765.0
07843328000208,Filial_Proview,2026-03,0.0,87969.0,0.0,0.0,4018.0,0.0,91987.0
07843328000208,Filial_Proview,2026-04,0.0,139620.0,1200.0,0.0,5270.0,0.0,146090.0
07843328000208,Filial_Proview,2026-05,0.0,60284.0,13930.0,6110.0,0.0,0.0,80324.0
18960845000194,Oticas_BH,2026-01,0.0,103694.0,7303.0,14395.0,0.0,0.0,125392.0
18960845000194,Oticas_BH,2026-02,0.0,95560.0,9762.0,19120.0,0.0,0.0,124442.0
18960845000194,Oticas_BH,2026-03,0.0,120257.0,23225.0,32433.0,0.0,0.0,175915.0
18960845000194,Oticas_BH,2026-04,500.0,102126.0,7180.0,38630.0,0.0,0.0,148436.0
18960845000194,Oticas_BH,2026-05,0.0,128545.0,3380.0,31990.0,0.0,0.0,163915.0
