data,cnpj,Estabelecimento,nNF,tPag,Forma_Pagamento,tBand,vPag,vNF
2026-01-23,07843328000208,Filial_Proview,6211,03,Cartao_Credito,,799.0,799.0
2026-01-23,07843328000208,Filial_Proview,6212,03,Cartao_Credito,,3390.0,3390.0
2026-01-23,07843328000208,Filial_Proview,6213,03,Cartao_Credito,,650.0,650.0
2026-01-26,07843328000208,Filial_Proview,6214,03,Cartao_Credito,,5577.0,5577.0
2026-01-26,07843328000208,Filial_Proview,6215,03,Cartao_Credito,,2338.0,2338.0
2026-01-26,07843328000208,Filial_Proview,6216,03,Cartao_Credito,,1200.0,1200.0
2026-01-26,07843328000208,Filial_Proview,6217,03,Cartao_Credito,,650.0,650.0
2026-01-26,07843328000208,Filial_Proview,6218,03,Cartao_Credito,,5200.0,5200.0
2026-01-26,07843328000208,Filial_Proview,6219,04,Cartao_Debito,,2890.0,5780.0
2026-01-26,07843328000208,Filial_Proview,6219,03,Cartao_Credito,,2890.0,5780.0
2026-01-26,07843328000208,Filial_Proview,6220,03,Cartao_Credito,,3480.0,3480.0
2026-01-26,07843328000208,Filial_Proview,6221,03,Cartao_Credito,,8000.0,8000.0
2026-01-26,07843328000208,Filial_Proview,6222,03,Cartao_Credito,,4490.0,4490.0
2026-01-28,07843328000208,Filial_Proview,6223,03,Cartao_Credito,,1200.0,1200.0
2026-01-28,07843328000208,Filial_Proview,6224,04,Cartao_Debito,,4300.0,4300.0
2026-01-28,07843328000208,Filial_Proview,6225,03,Cartao_Credito,,1700.0,1700.0
2026-01-28,07843328000208,Filial_Proview,6226,03,Cartao_Credito,,2400.0,2400.0
2026-01-28,07843328000208,Filial_Proview,6227,03,Cartao_Credito,,2838.0,2838.0
2026-01-29,07843328000208,Filial_Proview,6228,03,Cartao_Credito,,2190.0,2190.0
2026-01-29,07843328000208,Filial_Proview,6229,17,PIX,,150.0,150.0
2026-01-29,07843328000208,Filial_Proview,6230,03,Cartao_Credito,,1860.0,1860.0
2026-01-29,07843328000208,Filial_Proview,6231,03,Cartao_Credito,,2500.0,2500.0
2026-01-29,07843328000208,Filial_Proview,6232,03,Cartao_Credito,,2340.0,2340.0
2026-01-30,07843328000208,Filial_Proview,6233,03,Cartao_Credito,,4700.0,4700.0
2026-01-30,07843328000208,Filial_Proview,6234,03,Cartao_Credito,,3250.0,3250.0
2026-01-30,07843328000208,Filial_Proview,6235,17,PIX,,600.0,830.0
2026-01-30,07843328000208,Filial_Proview,6235,17,PIX,,230.0,830.0
2026-01-30,07843328000208,Filial_Proview,6236,03,Cartao_Credito,,1550.0,1550.0
2026-01-30,07843328000208,Filial_Proview,6237,03,Cartao_Credito,,3150.0,3150.0
2026-01-30,07843328000208,Filial_Proview,6238,03,Cartao_Credito,,2000.0,2000.0
2026-01-30,07843328000208,Filial_Proview,6239,03,Cartao_Credito,,4890.0,4890.0
2026-01-30,07843328000208,Filial_Proview,6240,03,Cartao_Credito,,2580.0,2580.0
2026-01-30,07843328000208,Filial_Proview,6241,03,Cartao_Credito,,590.0,590.0
2026-01-30,07843328000208,Filial_Proview,6242,03,Cartao_Credito,,940.0,940.0
2026-01-30,07843328000208,Filial_Proview,6243,03,Cartao_Credito,,2550.0,2550.0
2026-01-30,07843328000208,Filial_Proview,6244,03,Cartao_Credito,,11360.0,11360.0
2026-01-30,07843328000208,Filial_Proview,6245,03,Cartao_Credito,,2800.0,2800.0
2026-01-30,07843328000208,Filial_Proview,6246,03,Cartao_Credito,,1400.0,1400.0
2026-01-30,07843328000208,Filial_Proview,6247,04,Cartao_Debito,,2900.0,2900.0
2026-01-30,07843328000208,Filial_Proview,6248,03,Cartao_Credito,,2145.0,2145.0
2026-01-30,07843328000208,Filial_Proview,6249,03,Cartao_Credito,,580.0,580.0
2026-01-31,07843328000208,Filial_Proview,6250,03,Cartao_Credito,,590.0,590.0
2026-01-13,18960845000194,Oticas_BH,10497,03,Cartao_Credito,,800.0,800.0
2026-01-13,18960845000194,Oticas_BH,10498,03,Cartao_Credito,,1870.0,1870.0
2026-01-13,18960845000194,Oticas_BH,10499,03,Cartao_Credito,,1750.0,1750.0
2026-01-13,18960845000194,Oticas_BH,10500,04,Cartao_Debito,,1000.0,3900.0
2026-01-13,18960845000194,Oticas_BH,10500,03,Cartao_Credito,,2900.0,3900.0
2026-01-13,18960845000194,Oticas_BH,10501,03,Cartao_Credito,,1700.0,1700.0
2026-01-13,18960845000194,Oticas_BH,10502,03,Cartao_Credito,,1220.0,1220.0
2026-01-13,18960845000194,Oticas_BH,10503,03,Cartao_Credito,,1100.0,1100.0
2026-01-13,18960845000194,Oticas_BH,10504,03,Cartao_Credito,,1180.0,1180.0
2026-01-13,18960845000194,Oticas_BH,10505,03,Cartao_Credito,,3200.0,3200.0
2026-01-15,18960845000194,Oticas_BH,10506,03,Cartao_Credito,,3400.0,3400.0
2026-01-15,18960845000194,Oticas_BH,10507,03,Cartao_Credito,,11400.0,11400.0
2026-01-15,18960845000194,Oticas_BH,10508,03,Cartao_Credito,,3000.0,3000.0
2026-01-15,18960845000194,Oticas_BH,10509,13,13,,1800.0,1800.0
2026-01-15,18960845000194,Oticas_BH,10510,03,Cartao_Credito,,2531.0,2531.0
2026-01-15,18960845000194,Oticas_BH,10511,13,13,,590.0,1890.0
2026-01-15,18960845000194,Oticas_BH,10511,03,Cartao_Credito,,1300.0,1890.0
2026-01-15,18960845000194,Oticas_BH,10512,03,Cartao_Credito,,1600.0,1600.0
2026-01-16,18960845000194,Oticas_BH,10513,03,Cartao_Credito,,1380.0,1380.0
2026-01-16,18960845000194,Oticas_BH,10514,03,Cartao_Credito,,800.0,800.0
2026-01-16,18960845000194,Oticas_BH,10515,13,13,,350.0,350.0
2026-01-16,18960845000194,Oticas_BH,10516,03,Cartao_Credito,,1900.0,1900.0
2026-01-16,18960845000194,Oticas_BH,10517,13,13,,5380.0,5380.0
2026-01-16,18960845000194,Oticas_BH,10518,03,Cartao_Credito,,2800.0,2800.0
2026-01-19,18960845000194,Oticas_BH,10519,03,Cartao_Credito,,2900.0,2900.0
2026-01-20,18960845000194,Oticas_BH,10520,03,Cartao_Credito,,1360.0,1360.0
2026-01-20,18960845000194,Oticas_BH,10521,04,Cartao_Debito,,1419.0,1419.0
2026-01-20,18960845000194,Oticas_BH,10522,03,Cartao_Credito,,2000.0,2134.0
2026-01-20,18960845000194,Oticas_BH,10522,04,Cartao_Debito,,134.0,2134.0
2026-01-20,18960845000194,Oticas_BH,10523,03,Cartao_Credito,,2300.0,2300.0
2026-01-20,18960845000194,Oticas_BH,10524,13,13,,125.0,250.0
2026-01-20,18960845000194,Oticas_BH,10524,04,Cartao_Debito,,125.0,250.0
2026-01-20,18960845000194,Oticas_BH,10525,13,13,,1600.0,1600.0
2026-01-20,18960845000194,Oticas_BH,10526,03,Cartao_Credito,,972.0,972.0
2026-01-20,18960845000194,Oticas_BH,10527,03,Cartao_Credito,,650.0,650.0
2026-01-22,18960845000194,Oticas_BH,10528,03,Cartao_Credito,,2240.0,2240.0
2026-01-23,18960845000194,Oticas_BH,10529,03,Cartao_Credito,,790.0,790.0
2026-01-23,18960845000194,Oticas_BH,10530,03,Cartao_Credito,,2450.0,2450.0
2026-01-23,18960845000194,Oticas_BH,10531,03,Cartao_Credito,,1200.0,1200.0
2026-01-23,18960845000194,Oticas_BH,10532,03,Cartao_Credito,,4540.0,4540.0
2026-01-26,18960845000194,Oticas_BH,10533,13,13,,1650.0,1650.0
2026-01-26,18960845000194,Oticas_BH,10534,03,Cartao_Credito,,1500.0,1500.0
2026-01-26,18960845000194,Oticas_BH,10535,03,Cartao_Credito,,990.0,990.0
2026-01-26,18960845000194,Oticas_BH,10536,13,13,,600.0,1500.0
2026-01-26,18960845000194,Oticas_BH,10536,03,Cartao_Credito,,900.0,1500.0
2026-01-26,18960845000194,Oticas_BH,10537,04,Cartao_Debito,,3200.0,3200.0
2026-01-26,18960845000194,Oticas_BH,10538,03,Cartao_Credito,,2400.0,2825.0
2026-01-26,18960845000194,Oticas_BH,10538,04,Cartao_Debito,,425.0,2825.0
2026-01-28,18960845000194,Oticas_BH,10539,04,Cartao_Debito,,1000.0,3000.0
2026-01-28,18960845000194,Oticas_BH,10539,03,Cartao_Credito,,2000.0,3000.0
2026-01-28,18960845000194,Oticas_BH,10540,03,Cartao_Credito,,250.0,250.0
2026-01-28,18960845000194,Oticas_BH,10541,03,Cartao_Credito,,3250.0,3250.0
2026-01-29,18960845000194,Oticas_BH,10542,03,Cartao_Credito,,8900.0,8900.0
2026-01-29,18960845000194,Oticas_BH,10543,03,Cartao_Credito,,1300.0,1300.0
2026-01-30,18960845000194,Oticas_BH,10544,03,Cartao_Credito,,1500.0,1500.0
2026-01-30,18960845000194,Oticas_BH,10545,03,Cartao_Credito,,3480.0,3480.0
2026-01-30,18960845000194,Oticas_BH,10546,03,Cartao_Credito,,1410.0,1410.0
2026-01-30,18960845000194,Oticas_BH,10547,03,Cartao_Credito,,990.0,990.0
2026-01-30,18960845000194,Oticas_BH,10548,13,13,,2000.0,2466.0
2026-01-30,18960845000194,Oticas_BH,10548,13,13,,300.0,2466.0
2026-01-30,18960845000194,Oticas_BH,10548,03,Cartao_Credito,,166.0,2466.0
2026-01-30,18960845000194,Oticas_BH,10549,03,Cartao_Credito,,1550.0,1550.0
2026-01-30,18960845000194,Oticas_BH,10550,03,Cartao_Credito,,2400.0,2400.0
2026-01-30,18960845000194,Oticas_BH,10551,03,Cartao_Credito,,800.0,800.0
2026-01-30,18960845000194,Oticas_BH,10552,03,Cartao_Credito,,2675.0,2675.0
2026-01-21,07843328000119,Matriz_Luminis,3396,03,Cartao_Credito,,2600.0,2600.0
2026-01-21,07843328000119,Matriz_Luminis,3397,03,Cartao_Credito,,2010.0,2010.0
2026-01-21,07843328000119,Matriz_Luminis,3398,03,Cartao_Credito,,1850.0,1850.0
2026-01-21,07843328000119,Matriz_Luminis,3399,03,Cartao_Credito,,2250.0,2250.0
2026-01-21,07843328000119,Matriz_Luminis,3400,04,Cartao_Debito,,700.0,2700.0
2026-01-21,07843328000119,Matriz_Luminis,3400,03,Cartao_Credito,,2000.0,2700.0
2026-01-21,07843328000119,Matriz_Luminis,3401,04,Cartao_Debito,,100.0,3800.0
2026-01-21,07843328000119,Matriz_Luminis,3401,03,Cartao_Credito,,3700.0,3800.0
2026-01-21,07843328000119,Matriz_Luminis,3402,03,Cartao_Credito,,2000.0,2000.0
2026-01-26,07843328000119,Matriz_Luminis,3403,20,20,,100.0,100.0
2026-01-26,07843328000119,Matriz_Luminis,3404,03,Cartao_Credito,,1600.0,1600.0
2026-01-26,07843328000119,Matriz_Luminis,3405,03,Cartao_Credito,,1430.0,1430.0
2026-01-28,07843328000119,Matriz_Luminis,3406,03,Cartao_Credito,,2100.0,2100.0
2026-01-28,07843328000119,Matriz_Luminis,3407,03,Cartao_Credito,,4200.0,4200.0
2026-01-28,07843328000119,Matriz_Luminis,3408,03,Cartao_Credito,,1500.0,1500.0
2026-01-29,07843328000119,Matriz_Luminis,3409,03,Cartao_Credito,,1000.0,1000.0
2026-01-29,07843328000119,Matriz_Luminis,3410,03,Cartao_Credito,,1346.0,1346.0
2026-01-29,07843328000119,Matriz_Luminis,3411,03,Cartao_Credito,,1276.0,1276.0
2026-01-29,07843328000119,Matriz_Luminis,3412,03,Cartao_Credito,,1100.0,1100.0
2026-01-29,07843328000119,Matriz_Luminis,3413,04,Cartao_Debito,,500.0,500.0
2026-01-29,07843328000119,Matriz_Luminis,3414,03,Cartao_Credito,,1400.0,1400.0
2026-01-29,07843328000119,Matriz_Luminis,3415,20,20,,100.0,100.0
2026-01-29,07843328000119,Matriz_Luminis,3416,03,Cartao_Credito,,700.0,700.0
2026-01-29,07843328000119,Matriz_Luminis,3417,03,Cartao_Credito,,800.0,800.0
2026-01-30,07843328000119,Matriz_Luminis,3418,03,Cartao_Credito,,2000.0,2000.0
2026-01-30,07843328000119,Matriz_Luminis,3419,03,Cartao_Credito,,2070.0,2070.0
