conta,mes,Antecipacao_Getnet_R$,GETN_MC_CC_R$,GETN_MC_CD_R$,Pagamento_Cartao_Credito_R$,Pagamento_Cartao_Debito_R$,TOTAL_R$
BH,2026-01,53322.3,0.0,0.0,0.0,9670.86,62993.16
BH,2026-02,43820.01,0.0,0.0,0.0,0.0,43820.01
BH,2026-03,104999.48,0.0,0.0,0.0,977.13,105976.61
BH,2026-04,81379.6,0.0,0.0,0.0,0.0,81379.6
BH,2026-05,150342.95,0.0,0.0,0.0,0.0,150342.95
CEF Filial,2026-01,0.0,738.16,3464.37,0.0,0.0,4202.53
CEF Filial,2026-02,0.0,0.0,8665.16,0.0,0.0,8665.16
CEF Filial,2026-03,0.0,204.48,987.0,0.0,0.0,1191.48
CEF Filial,2026-04,0.0,955.92,2555.32,0.0,0.0,3511.24
CEF Filial,2026-05,0.0,4112.64,3943.06,0.0,0.0,8055.7
CEF Filial,2026-06,0.0,1851.74,0.0,0.0,0.0,1851.74
CEF Matriz,2025-05,0.0,850.94,1085.26,0.0,0.0,1936.2
CEF Matriz,2025-06,0.0,0.0,118.39,0.0,0.0,118.39
CEF Matriz,2026-01,0.0,308.7,120.65,0.0,0.0,429.35
CEF Matriz,2026-02,0.0,0.0,47.33,0.0,0.0,47.33
CEF Matriz,2026-03,0.0,150.27,499.3,0.0,0.0,649.57
CEF Matriz,2026-04,0.0,191.46,740.0,0.0,0.0,931.46
Santander Filial,2026-04,42475.26,0.0,0.0,0.0,0.0,42475.26
Santander Matriz,2026-01,11565.79,0.0,0.0,3604.09,1180.75,16350.63
Santander Matriz,2026-02,26902.94,0.0,0.0,378.3,642.94,27924.18
Santander Matriz,2026-03,26318.8,0.0,0.0,215.01,4686.82,31220.63
Santander Matriz,2026-04,19152.98,0.0,0.0,0.0,0.0,19152.98
