cnpj,Estabelecimento,mes,Vendas_Cartao_Credito_NFe,Vendas_Cartao_Debito_NFe,Vendas_Cartao_Total_NFe,Creditos_Banco_Total,Diferenca_NFe_menos_Banco,Percentual_Diferenca,Detalhe_Creditos_Tipos
07843328000119,Matriz_Luminis,2026-01,38932.0,1300.0,40232.0,16779.98,23452.02,58.3%,"Antecipacao_Getnet: 11,565.79; GETN_MC_CC: 308.70; GETN_MC_CD: 120.65; Pagamento_Cartao_Credito: 3,604.09; Pagamento_Cartao_Debito: 1,180.75"
07843328000119,Matriz_Luminis,2026-02,45022.0,880.0,45902.0,27971.51,17930.49,39.1%,"Antecipacao_Getnet: 26,902.94; GETN_MC_CD: 47.33; Pagamento_Cartao_Credito: 378.30; Pagamento_Cartao_Debito: 642.94"
07843328000119,Matriz_Luminis,2026-03,55975.0,4910.0,60885.0,31870.2,29014.8,47.7%,"Antecipacao_Getnet: 26,318.80; GETN_MC_CC: 150.27; GETN_MC_CD: 499.30; Pagamento_Cartao_Credito: 215.01; Pagamento_Cartao_Debito: 4,686.82"
07843328000119,Matriz_Luminis,2026-04,16500.0,1150.0,17650.0,20084.44,-2434.44,-13.8%,"Antecipacao_Getnet: 19,152.98; GETN_MC_CC: 191.46; GETN_MC_CD: 740.00"
07843328000119,Matriz_Luminis,2026-05,51520.0,4598.0,56118.0,0.0,56118.0,100.0%,
07843328000208,Filial_Proview,2026-01,100767.0,10090.0,110857.0,4202.53,106654.47,96.2%,"GETN_MC_CC: 738.16; GETN_MC_CD: 3,464.37"
07843328000208,Filial_Proview,2026-02,92025.0,2890.0,94915.0,8665.16,86249.84,90.9%,"GETN_MC_CD: 8,665.16"
07843328000208,Filial_Proview,2026-03,87969.0,0.0,87969.0,1191.48,86777.52,98.6%,GETN_MC_CC: 204.48; GETN_MC_CD: 987.00
07843328000208,Filial_Proview,2026-04,139620.0,1200.0,140820.0,45986.5,94833.5,67.3%,"Antecipacao_Getnet: 42,475.26; GETN_MC_CC: 955.92; GETN_MC_CD: 2,555.32"
07843328000208,Filial_Proview,2026-05,60284.0,13930.0,74214.0,8055.7,66158.3,89.1%,"GETN_MC_CC: 4,112.64; GETN_MC_CD: 3,943.06"
07843328000208,Filial_Proview,2026-06,0.0,0.0,0.0,1851.74,-1851.74,0.0%,"GETN_MC_CC: 1,851.74"
18960845000194,Oticas_BH,2026-01,103694.0,7303.0,110997.0,62993.16,48003.84,43.2%,"Antecipacao_Getnet: 53,322.30; Pagamento_Cartao_Debito: 9,670.86"
18960845000194,Oticas_BH,2026-02,95560.0,9762.0,105322.0,43820.01,61501.99,58.4%,"Antecipacao_Getnet: 43,820.01"
18960845000194,Oticas_BH,2026-03,120257.0,23225.0,143482.0,105976.61,37505.39,26.1%,"Antecipacao_Getnet: 104,999.48; Pagamento_Cartao_Debito: 977.13"
18960845000194,Oticas_BH,2026-04,102126.0,7180.0,109306.0,81379.6,27926.4,25.5%,"Antecipacao_Getnet: 81,379.60"
18960845000194,Oticas_BH,2026-05,128545.0,3380.0,131925.0,150342.95,-18417.95,-14.0%,"Antecipacao_Getnet: 150,342.95"
