cnpj,Estabelecimento,mes,NFe_Vendas_Credito,NFe_Vendas_Debito,NFe_Vendas_Cartao_Total,GetNet_Qtd_Aprov,GetNet_Bruto,GetNet_Taxa_MDR,GetNet_Liquido,MDR_pct,Banco_Creditos_Total,Diff_NFe_vs_GetNetBruto,Diff_GetNetLiq_vs_Banco,Pct_GetNetLiq_vs_Banco
07843328000119,Matriz_Luminis,2026-01,38932.0,1300.0,40232.0,27,40232.0,-1054.65,39177.35,2.62%,16779.98,0.0,22397.37,57.2%
07843328000119,Matriz_Luminis,2026-02,45022.0,880.0,45902.0,29,45902.0,-1216.38,44685.62,2.65%,27971.51,0.0,16714.11,37.4%
07843328000119,Matriz_Luminis,2026-03,55975.0,4910.0,60885.0,40,56445.0,-1441.47,55003.53,2.55%,31870.2,4440.0,23133.33,42.1%
07843328000119,Matriz_Luminis,2026-04,16500.0,1150.0,17650.0,16,17630.0,-475.29,17154.71,2.70%,20084.44,20.0,-2929.73,-17.1%
07843328000119,Matriz_Luminis,2026-05,51520.0,4598.0,56118.0,31,56118.0,-1472.07,54645.93,2.62%,0.0,0.0,54645.93,100.0%
07843328000208,Filial_Proview,2026-01,100767.0,10090.0,110857.0,43,109724.0,-2580.2,107143.8,2.35%,4202.53,1133.0,102941.27,96.1%
07843328000208,Filial_Proview,2026-02,92025.0,2890.0,94915.0,29,96082.0,-2284.6,93797.4,2.38%,8665.16,-1167.0,85132.24,90.8%
07843328000208,Filial_Proview,2026-03,87969.0,0.0,87969.0,45,88785.0,-2171.07,86613.93,2.45%,1191.48,-816.0,85422.45,98.6%
07843328000208,Filial_Proview,2026-04,139620.0,1200.0,140820.0,32,79765.0,-2012.98,77752.02,2.52%,45986.5,61055.0,31765.52,40.9%
07843328000208,Filial_Proview,2026-05,60284.0,13930.0,74214.0,40,73459.0,-1686.91,71772.09,2.30%,8055.7,755.0,63716.39,88.8%
18960845000194,Oticas_BH,2026-01,103694.0,7303.0,110997.0,59,110758.0,-2588.2,108169.8,2.34%,62993.16,239.0,45176.64,41.8%
18960845000194,Oticas_BH,2026-02,95560.0,9762.0,105322.0,71,105496.0,-2525.88,102970.12,2.39%,43820.01,-174.0,59150.11,57.4%
18960845000194,Oticas_BH,2026-03,120257.0,23225.0,143482.0,80,139997.0,-3192.6,136804.4,2.28%,105976.61,3485.0,30827.79,22.5%
18960845000194,Oticas_BH,2026-04,102126.0,7180.0,109306.0,65,106768.9,-2513.64,104255.26,2.35%,81379.6,2537.1,22875.66,21.9%
18960845000194,Oticas_BH,2026-05,128545.0,3380.0,131925.0,72,130598.5,-3161.7,127436.8,2.42%,150342.95,1326.5,-22906.15,-18.0%
